Autovector, error
0,3.05611e-16
1,5.83951e-16
2,0.00333264
3,0.00463875
4,5.73368e-07
5,7.49608e-07
6,9.87064e-05
7,0.000159224
8,78104.3
9,89657.5
10,1.00408e-05
11,0.000378632
12,188.194
13,209.944
14,2.57448
15,238.631
16,251.662
17,4.60764
18,2.37712e+06
19,2.72379e+06
20,349.795
21,24471.3
22,26245.1
23,16.9471
24,53273.3
25,79409.2
26,77048.1
27,59869.6
28,59602
29,6264.57
30,7113.6
31,601.744
32,330944
33,336503
34,26529.8
35,30556.7
36,14124.2
37,790.574
38,1122.07
39,531.353
40,11276.3
41,83589.3
42,76834.8
43,3660.9
44,20887.3
45,24795.9
46,4818.97
47,5499.23
48,9563.52
49,6244.36
50,98581.7
51,87978.2
52,2350.04
53,5704.29
54,61846.9
55,70985.5
56,85642.3
57,52544.1
58,165785
59,165696
60,4284.18
61,5817.57
62,2408.84
63,9095.53
64,17050.8
65,21716.7
66,6239.63
67,7659.31
68,61287.8
69,7129.81
70,62463.8
71,19243.3
72,28456.1
73,48398.4
74,21878.8
75,18410.7
76,6315.83
77,5998.72
78,32130
79,32585.8
80,2025.59
81,69212.2
82,39773
83,24220.6
84,19416.4
85,14131
86,24550.4
87,24424
88,14394.6
89,14021.4
90,2722.1
91,14434.3
92,18921.9
93,9487.66
94,9614.91
95,20668
96,11663.1
97,14839
98,14728.6
99,15144.1
