k,alpha,accuracy,time
1,5,100,0.170257
1,10,100,0.223696
1,15,100,0.269632
1,20,100,0.352485
1,25,100,0.391694
1,30,100,0.446468
1,35,100,0.530739
1,40,100,0.572897
1,45,100,0.762282
1,50,100,0.740429
1,55,100,0.737489
1,60,100,0.806879
1,65,100,0.927842
1,70,100,0.972003
1,75,100,0.955815
1,80,100,1.01314
1,85,100,1.17522
1,90,100,1.24101
1,95,100,1.25849
1,100,100,1.26637
5,5,88.2927,0.184198
5,10,93.1707,0.227473
5,15,94.6341,0.281121
5,20,95.122,0.345944
5,25,95.6098,0.393026
5,30,97.0732,0.483564
5,35,97.8049,0.555052
5,40,97.8049,0.582752
5,45,97.8049,0.715061
5,50,98.0488,0.753975
5,55,98.0488,0.748058
5,60,98.0488,0.840138
5,65,98.2927,0.902135
5,70,98.0488,0.981103
5,75,98.0488,0.955444
5,80,97.8049,1.00806
5,85,97.8049,1.20078
5,90,97.8049,1.25413
5,95,97.8049,1.24155
5,100,97.8049,1.24387
10,5,76.3415,0.177365
10,10,87.0732,0.23505
10,15,89.5122,0.265926
10,20,90.4878,0.334244
10,25,91.2195,0.422596
10,30,91.2195,0.471672
10,35,92.6829,0.550441
10,40,92.1951,0.586607
10,45,92.1951,0.731551
10,50,92.6829,0.731705
10,55,92.439,0.748772
10,60,92.439,0.790323
10,65,92.1951,0.923759
10,70,92.1951,0.974825
10,75,91.7073,0.970089
10,80,92.439,1.02255
10,85,92.439,1.19951
10,90,92.439,1.24205
10,95,92.439,1.26267
10,100,92.9268,1.25102
15,5,65.122,0.172103
15,10,77.561,0.240714
15,15,79.5122,0.270275
15,20,82.9268,0.359289
15,25,83.6585,0.405045
15,30,83.9024,0.46341
15,35,84.3902,0.537604
15,40,84.878,0.598946
15,45,85.3659,0.705241
15,50,84.6341,0.742712
15,55,84.878,0.731445
15,60,83.9024,0.814989
15,65,84.6341,0.903104
15,70,85.8537,0.961828
15,75,85.3659,0.96403
15,80,85.3659,1.03343
15,85,85.3659,1.18328
15,90,85.122,1.24749
15,95,84.3902,1.24068
15,100,84.1463,1.25055
20,5,59.2683,0.173893
20,10,71.4634,0.224461
20,15,74.3902,0.274734
20,20,75.122,0.343499
20,25,76.5854,0.403822
20,30,78.5366,0.448993
20,35,78.0488,0.542993
20,40,77.8049,0.578455
20,45,77.8049,0.717607
20,50,76.8293,0.763465
20,55,76.5854,0.731816
20,60,77.3171,0.810041
20,65,76.8293,0.913203
20,70,76.8293,0.989147
20,75,75.6098,0.963387
20,80,76.0976,1.01165
20,85,75.8537,1.18631
20,90,75.3659,1.23822
20,95,74.878,1.4116
20,100,75.8537,1.24479
25,5,55.3659,0.185157
25,10,70.7317,0.236339
25,15,70.9756,0.283359
25,20,72.439,0.328943
25,25,72.1951,0.392381
25,30,73.6585,0.470498
25,35,73.6585,0.562107
25,40,73.6585,0.668151
25,45,73.1707,0.695523
25,50,72.9268,0.751935
25,55,72.9268,0.741528
25,60,73.6585,0.810264
25,65,72.9268,0.90261
25,70,72.6829,0.985779
25,75,71.4634,0.972507
25,80,71.9512,1.01154
25,85,73.1707,1.18717
25,90,72.6829,1.24096
25,95,72.6829,1.18513
25,100,71.9512,1.24515
30,5,51.9512,0.173772
30,10,66.5854,0.229668
