k,alpha,accuracy,time
1,5,100,0.0689485
1,10,100,0.0919134
1,15,100,0.108892
1,20,100,0.130323
1,25,100,0.164481
1,30,100,0.339211
1,35,100,0.222451
1,40,100,0.233282
1,45,100,0.268305
1,50,100,0.305537
1,55,100,0.304297
1,60,100,0.3281
1,65,100,0.381805
1,70,100,0.384983
1,75,100,0.389135
1,80,100,0.405628
1,85,100,0.464507
1,90,100,0.498499
1,95,100,0.619786
1,100,100,0.510003
5,5,88.2927,0.0691839
5,10,93.1707,0.0912046
5,15,94.6341,0.106504
5,20,95.122,0.129723
5,25,95.6098,0.15641
5,30,97.0732,0.179343
5,35,97.8049,0.226373
5,40,97.8049,0.239786
5,45,97.8049,0.280881
5,50,98.0488,0.29429
5,55,98.0488,0.294268
5,60,98.0488,0.322553
5,65,98.2927,0.377421
5,70,98.0488,0.400778
5,75,98.0488,0.376931
5,80,97.8049,0.396249
5,85,97.8049,0.476578
5,90,97.8049,0.480742
5,95,97.8049,0.624602
5,100,97.8049,0.513851
10,5,76.3415,0.0716253
10,10,87.0732,0.0969926
10,15,89.5122,0.107546
10,20,90.4878,0.134725
10,25,91.2195,0.156413
10,30,91.2195,0.185985
10,35,92.6829,0.222439
10,40,92.1951,0.23818
10,45,92.1951,0.288658
10,50,92.6829,0.288247
10,55,92.439,0.293069
10,60,92.439,0.32125
10,65,92.1951,0.373155
10,70,92.1951,0.407383
10,75,91.7073,0.383649
10,80,92.1951,0.397741
10,85,92.439,0.492344
10,90,92.439,0.490956
10,95,92.439,0.54359
10,100,92.9268,0.495033
15,5,65.122,0.0732012
15,10,77.561,0.0915484
15,15,79.5122,0.119067
15,20,82.9268,0.13671
15,25,83.6585,0.155909
15,30,83.9024,0.179471
15,35,84.3902,0.220869
15,40,84.878,0.235379
15,45,85.3659,0.287882
15,50,84.6341,0.290916
15,55,84.878,0.305893
15,60,83.9024,0.326385
15,65,84.6341,0.36823
15,70,85.8537,0.406704
15,75,85.8537,0.390845
15,80,84.6341,0.403944
15,85,85.3659,0.479663
15,90,85.3659,0.481832
15,95,84.1463,0.621118
15,100,84.1463,0.512046
20,5,59.2683,0.0694962
20,10,71.4634,0.090792
20,15,74.3902,0.107526
20,20,75.122,0.138976
20,25,76.5854,0.159161
20,30,78.5366,0.186711
20,35,78.0488,0.221476
20,40,77.8049,0.240929
20,45,77.8049,0.273079
20,50,76.8293,0.292214
20,55,76.5854,0.306764
20,60,77.3171,0.323234
20,65,76.8293,0.366075
20,70,76.8293,0.394314
20,75,76.0976,0.392682
20,80,76.0976,0.418224
20,85,75.8537,0.472939
20,90,75.3659,0.492154
20,95,74.878,0.585061
20,100,75.6098,0.508229
25,5,55.3659,0.0681884
25,10,70.7317,0.0917325
25,15,70.9756,0.11188
25,20,72.439,0.143831
25,25,72.1951,0.165479
25,30,73.6585,0.198654
25,35,73.6585,0.242314
25,40,73.6585,0.235788
25,45,73.1707,0.274119
25,50,72.9268,0.301782
25,55,72.9268,0.293808
25,60,73.6585,0.324002
25,65,72.9268,0.364506
25,70,72.6829,0.397109
25,75,72.439,0.378843
25,80,71.7073,0.403498
25,85,73.1707,0.45961
25,90,72.6829,0.513797
25,95,72.6829,0.59132
25,100,72.1951,0.488987
30,5,51.9512,0.0711397
30,10,66.5854,0.0933005
30,15,68.2927,0.107692
30,20,69.0244,0.151152
30,25,70,0.168169
30,30,69.5122,0.194878
30,35,70,0.218528
30,40,70.2439,0.231024
30,45,70,0.292395
30,50,70.4878,0.299788
30,55,69.2683,0.309408
30,60,69.2683,0.318687
30,65,70.7317,0.376643
30,70,70.4878,0.406982
30,75,69.7561,0.376741
30,80,68.5366,0.401008
30,85,68.5366,0.466529
30,90,70.4878,0.490526
30,95,69.5122,0.511329
30,100,69.0244,0.487344
35,5,49.2683,0.0802933
35,10,59.0244,0.0901301
35,15,63.4146,0.122334
35,20,64.878,0.138848
35,25,66.3415,0.155556
35,30,66.8293,0.192995
35,35,67.0732,0.21895
35,40,69.2683,0.231258
35,45,69.0244,0.294878
35,50,69.2683,0.293145
35,55,69.0244,0.297198
35,60,68.2927,0.333632
35,65,67.3171,0.377045
35,70,68.0488,0.400402
35,75,67.8049,0.37937
35,80,67.8049,0.407511
35,85,67.3171,0.478835
35,90,67.0732,0.50017
35,95,67.3171,0.535652
35,100,66.3415,0.497143
40,5,45.8537,0.0746306
40,10,57.3171,0.0914654
40,15,59.7561,0.11889
40,20,64.1463,0.131132
40,25,64.3902,0.157804
40,30,64.1463,0.183239
40,35,65.122,0.220083
40,40,66.0976,0.236378
40,45,65.6098,0.281884
40,50,64.878,0.292436
40,55,65.122,0.297657
40,60,65.8537,0.319681
40,65,65.8537,0.36217
40,70,65.8537,0.399133
40,75,65.122,0.386267
40,80,64.1463,0.413283
40,85,63.9024,0.474353
40,90,63.4146,0.500844
40,95,62.6829,0.523947
40,100,63.1707,0.492727
45,5,42.1951,0.0727955
45,10,53.9024,0.0909619
45,15,57.561,0.116557
45,20,59.7561,0.143362
45,25,60.9756,0.158193
45,30,62.1951,0.185512
45,35,61.9512,0.220927
