k,accuracyProm,Tiempo
1,0.934146,30.3707
2,0.885366,30.3369
3,0.880488,30.3155
4,0.858537,30.3547
5,0.821951,30.3206
6,0.778049,30.2994
7,0.760976,30.3757
8,0.726829,30.3302
9,0.714634,30.2879
10,0.682927,30.417
11,0.678049,30.3944
12,0.64878,30.3205
13,0.643902,30.4175
14,0.609756,30.4387
15,0.597561,30.3998
16,0.573171,30.3473
17,0.563415,30.3763
18,0.558537,30.2843
19,0.541463,30.3679
20,0.536585,30.3399
21,0.531707,30.3033
22,0.512195,30.3168
23,0.492683,30.3536
24,0.478049,30.3397
25,0.463415,30.4333
26,0.45122,30.3486
27,0.439024,30.3919
28,0.431707,30.3863
29,0.421951,30.4822
30,0.407317,30.3358
31,0.392683,30.3973
32,0.385366,30.3021
33,0.37561,30.4139
34,0.368293,30.3763
35,0.360976,30.3679
36,0.346341,30.3732
37,0.331707,30.4024
38,0.334146,30.3311
39,0.329268,30.3334
40,0.321951,30.308
41,0.32439,30.3335
42,0.314634,30.367
43,0.304878,30.3773
44,0.297561,30.3806
45,0.3,30.369
46,0.295122,30.3993
47,0.282927,30.3682
48,0.268293,30.3468
49,0.253659,30.3643
50,0.25122,30.3049
51,0.236585,30.5399
52,0.229268,30.3255
53,0.229268,30.4032
54,0.226829,30.2956
55,0.226829,30.3695
56,0.219512,30.3529
57,0.217073,30.4087
58,0.209756,30.3372
59,0.202439,30.4205
60,0.2,30.9328
61,0.195122,30.4537
62,0.195122,30.3327
63,0.192683,30.3943
64,0.185366,30.3653
65,0.180488,30.3849
66,0.178049,30.3202
67,0.17561,30.3703
68,0.17561,30.3973
69,0.165854,30.4072
70,0.163415,30.3878
71,0.163415,30.3882
72,0.170732,30.3838
73,0.170732,30.3149
74,0.168293,30.3507
75,0.163415,30.3409
76,0.163415,30.3712
77,0.163415,30.3323
78,0.163415,30.3594
79,0.160976,30.4183
80,0.158537,30.3586
81,0.153659,30.3949
82,0.153659,30.3565
83,0.153659,30.3926
84,0.153659,30.3304
85,0.143902,30.3513
86,0.143902,30.3839
87,0.141463,30.4165
88,0.141463,30.3861
89,0.141463,30.381
90,0.141463,30.341
91,0.139024,30.4452
92,0.136585,30.3618
93,0.134146,30.3489
94,0.134146,30.3564
95,0.134146,30.39
96,0.131707,30.4045
97,0.129268,30.3936
98,0.129268,30.3487
99,0.126829,30.4251
