k,accuracyProm,Tiempo
1,0.970732,874.539
2,0.946341,874.142
3,0.946341,874.652
4,0.934146,874.399
5,0.902439,874.291
6,0.897561,875.074
7,0.890244,874.265
8,0.856098,874.033
9,0.834146,874.508
10,0.792683,874.073
11,0.760976,875.176
12,0.758537,874.123
13,0.746341,874.548
14,0.736585,875.065
15,0.72439,874.469
16,0.714634,876.674
17,0.702439,874.221
18,0.692683,874.087
19,0.690244,874.068
20,0.687805,874.173
21,0.685366,874.03
22,0.668293,874.29
23,0.653659,875.881
24,0.639024,875.206
25,0.634146,874.143
26,0.629268,874.58
27,0.619512,874.17
28,0.609756,874.119
29,0.609756,874.216
30,0.604878,874.502
31,0.607317,874.542
32,0.585366,874.182
33,0.578049,874.187
34,0.565854,873.852
35,0.563415,874.218
36,0.55122,873.907
37,0.55122,874.258
38,0.543902,875.674
39,0.539024,874.308
40,0.541463,874.968
41,0.531707,874.338
42,0.521951,874.001
43,0.514634,874.436
44,0.509756,874.145
45,0.492683,874.173
46,0.487805,874.575
47,0.482927,874.472
48,0.47561,874.333
49,0.465854,874.208
50,0.458537,874.495
51,0.458537,874.257
52,0.45122,874.059
53,0.453659,874.405
54,0.446341,874.51
55,0.439024,874.43
56,0.429268,874.194
57,0.419512,874.636
58,0.409756,874.209
59,0.402439,874.458
60,0.397561,874.61
61,0.395122,874.479
62,0.390244,874.137
63,0.390244,874.356
64,0.385366,875.012
65,0.373171,874.511
66,0.363415,873.764
67,0.353659,874.775
68,0.339024,874.026
69,0.326829,874.056
70,0.331707,874.667
71,0.319512,874.338
72,0.312195,874.778
73,0.312195,874.661
74,0.302439,874.573
75,0.3,874.514
76,0.297561,875.365
77,0.292683,874.459
78,0.290244,874.716
79,0.287805,874.286
80,0.290244,874.357
81,0.285366,874.188
82,0.280488,874.24
83,0.278049,874.1
84,0.273171,874.63
85,0.268293,874.213
86,0.265854,874.093
87,0.253659,874.093
88,0.246341,873.961
89,0.236585,874.32
90,0.234146,874.176
91,0.229268,874.266
92,0.229268,874.778
93,0.22439,874.444
94,0.22439,874.492
95,0.226829,874.421
96,0.221951,875.057
97,0.22439,874.693
98,0.22439,876.811
99,0.221951,874.226
