k,accuracyProm,Tiempo
1,0.973171,57.5977
2,0.973171,58.0998
3,0.953659,58.6539
4,0.946341,58.8155
5,0.909756,58.5755
6,0.895122,58.5583
7,0.880488,58.8292
8,0.860976,58.4028
9,0.839024,58.5519
10,0.821951,58.5323
11,0.8,58.6068
12,0.785366,58.5354
13,0.765854,57.041
14,0.75122,56.9591
15,0.734146,56.8193
16,0.72439,56.8161
17,0.719512,56.8583
18,0.709756,56.8291
19,0.695122,56.8852
20,0.692683,56.8119
21,0.682927,56.8438
22,0.67561,56.8126
23,0.670732,56.8048
24,0.668293,56.8422
25,0.663415,56.8853
26,0.665854,56.8344
27,0.660976,57.1594
28,0.663415,56.8007
29,0.65122,57.2341
30,0.641463,57.2818
31,0.639024,57.5601
32,0.634146,57.2733
33,0.631707,57.2887
34,0.631707,56.7885
35,0.631707,56.8536
36,0.631707,56.8503
37,0.626829,56.8246
38,0.62439,56.8414
39,0.621951,56.8296
40,0.619512,56.873
41,0.617073,56.881
42,0.617073,57.026
43,0.617073,56.91
44,0.617073,56.8712
45,0.617073,56.9557
46,0.617073,56.9073
47,0.619512,56.8429
48,0.617073,56.7458
49,0.617073,56.8734
50,0.617073,57.1315
51,0.619512,57.2381
52,0.619512,57.1093
53,0.619512,56.8485
54,0.612195,57.1472
55,0.607317,56.9058
56,0.604878,56.8635
57,0.604878,56.8696
58,0.604878,56.8334
59,0.604878,57.2247
60,0.604878,56.8317
61,0.602439,56.8659
62,0.6,56.835
63,0.6,57.1746
64,0.597561,56.8554
65,0.6,56.8331
66,0.6,56.8358
67,0.6,57.1638
68,0.6,56.8843
69,0.6,57.7488
70,0.597561,56.9142
71,0.597561,56.8895
72,0.597561,56.8871
73,0.597561,56.8437
74,0.592683,56.7997
75,0.592683,56.8875
76,0.592683,56.93
77,0.592683,56.839
78,0.592683,56.8243
79,0.592683,56.8468
80,0.592683,56.8629
81,0.592683,56.8626
82,0.592683,56.824
83,0.592683,56.8568
84,0.592683,56.8575
85,0.595122,57.0185
86,0.595122,56.8849
87,0.595122,56.8659
88,0.595122,56.9943
89,0.595122,56.899
90,0.595122,56.7622
91,0.595122,56.9352
92,0.595122,57.0232
93,0.595122,57.0352
94,0.595122,56.9231
95,0.595122,56.8344
96,0.595122,56.8974
97,0.595122,57.5567
98,0.595122,57.6267
99,0.595122,56.9097
