k,accuracyProm,Tiempo
1,0.953659,29.8215
2,0.953659,30.4641
3,0.914634,30.3651
4,0.892683,29.8442
5,0.863415,29.6538
6,0.836585,29.6482
7,0.790244,29.5994
8,0.773171,30.1711
9,0.75122,30.4276
10,0.736585,30.0951
11,0.717073,30.2344
12,0.712195,30.3139
13,0.697561,29.6675
14,0.680488,29.6856
15,0.67561,29.6885
16,0.668293,29.8032
17,0.658537,29.8231
18,0.646341,29.9488
19,0.643902,29.8705
20,0.636585,29.8249
21,0.636585,29.7689
22,0.62439,29.7672
23,0.621951,29.7778
24,0.621951,29.7707
25,0.621951,29.741
26,0.612195,29.7897
27,0.604878,29.809
28,0.602439,29.7484
29,0.6,29.7695
30,0.6,29.7955
31,0.595122,29.7669
32,0.597561,29.7941
33,0.597561,29.7745
34,0.597561,29.7568
35,0.597561,29.7709
36,0.597561,30.2517
37,0.597561,30.2227
38,0.597561,30.1749
39,0.595122,30.2673
40,0.592683,30.374
41,0.592683,30.4182
42,0.592683,30.5737
43,0.592683,30.5268
