Autovector,Error
0,1.93193e-17
1,3.81415e-17
2,2.26715e-05
3,3.15584e-05
4,3.35664e-09
5,3.37104e-12
6,0.00552775
7,0.00738975
8,11153.9
9,12815.1
10,0.0102883
11,1.13518
12,7510.48
13,8311.61
14,2.34846
15,1.87505e+06
16,1.91283e+06
17,183.037
18,25.3273
19,5.502
20,38.8827
21,360818
22,377314
23,2.48026
24,1746.37
25,17155.6
26,19853.2
27,8187.59
28,4477.04
29,49879.7
30,53277.5
31,537.877
32,64357.9
33,77137.8
36,12587.5
37,626.617
38,12085.1
39,83401.7
40,84727.2
41,3378.69
42,165677
43,162652
44,5232.64
45,4782.97
46,6485.5
47,4212.55
48,9749.59
49,1313.38
50,63312
51,64423.7
52,839.871
53,479.652
54,86661.6
55,18286.9
56,72415.7
57,4510.69
58,11236
59,30156.4
60,27083.6
61,3273.75
62,6660.9
63,16192.3
64,4571.16
65,9562.3
66,27529.4
67,47223.9
68,60105.4
69,29624.8
70,8276.41
71,22174.3
72,14559.4
73,11518.4
74,6123.18
75,15532.9
76,9317.06
77,43613.5
78,40881.7
79,10147.1
80,24842
81,39718.3
82,26686
83,16443.2
84,81060.2
85,9081.3
86,83686.4
87,3298.83
88,105928
89,114701
90,31227.4
91,47819.6
92,9905.05
93,5081.01
94,21811
95,19721.7
96,18126.8
97,833.324
98,3107.4
99,2725.61
