Autovector, error
0,1.78776e-18
1,4.85483e-18
2,8.47554e-19
3,1.91387e-18
4,8.19939e-19
5,2.88475e-19
6,2.10025e-18
7,4.87754e-19
8,1.019e-09
9,1.16979e-09
10,3.18234e-18
11,4.06708e-18
12,3.11569e-08
13,3.44803e-08
14,9.92186e-17
15,0.854744
16,0.891058
17,4.4341e-10
18,1.77574e-10
19,1.78113e-10
20,0.00102802
21,0.0326484
22,0.0338343
23,1.5991e-10
24,4.13659
25,1568.99
26,1580.48
27,9.28334
28,9.82968
29,0.0202844
30,0.0222173
31,0.0004999
32,5.55554
33,5.93314
34,494.286
35,514.92
36,0.426366
37,4.60639e-07
38,13650.3
39,13639.2
40,0.00117086
41,0.151048
42,1.1317
43,1.01124
44,1.49346
45,1.517
46,20.3608
47,20.4276
48,746.016
49,750.535
50,0.0562427
51,0.0159449
52,0.00578161
53,1.33599
54,643.448
55,653.052
56,798.149
57,813.576
58,0.0493202
59,6.15943
60,6.42558
61,0.149204
62,578.102
63,720.688
64,2758.97
65,2695.77
66,2.95139
67,3.73178
68,1.65466
69,209.736
70,305.545
71,99.4178
72,2935.94
73,3272.27
74,418.16
75,1836.48
76,1784.21
77,0.197636
78,1.45426
79,266.122
80,451.51
81,861.806
82,702.735
83,17.3923
84,11.1673
85,247.674
86,249.459
87,0.234603
88,0.12315
89,186.18
90,370.62
91,233.102
92,78.7529
93,53.2457
94,8075.41
95,8297.07
96,42.8275
97,120.419
98,326.519
99,227.815
